,pl_name,hostname,tic_id,gaia_id,sy_snum,sy_pnum,sy_mnum,soltype,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_tmag,sy_tmagerr1,sy_tmagerr2,has_two_min
12483,Kepler-1587 b,Kepler-1587,TIC 26656768,Gaia DR2 2129838139942109440,1,1,0,Kepler Project Candidate (q1_q17_dr25_koi),0,9.4061364,0.0001239,-0.0001239,0.0,0.0878,,,0.0,1.14,0.19,-0.2,0.0,,,,,,,,,,,,,0.0,,,0.0,981.0,,,0.0,1.27,0.21,-0.23,0.0,1.02,0.09,-0.07,0.0,4.24,0.16,-0.11,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h30m42.66s,292.6777294,+49d39m49.92s,49.663866600000006,1026.48,18.44,-17.81,13.597,0.0065,-0.0065,False
12491,Kepler-1588 b,Kepler-1588,TIC 298965827,Gaia DR2 2130980910480096384,1,1,0,Kepler Project Candidate (q1_q17_dr25_koi),0,7.84931877,7.556e-05,-7.556e-05,0.0,0.0726,,,0.0,0.81,0.12,-0.11,0.0,,,,,,,,,,,,,0.0,,,0.0,925.0,,,0.0,0.99,0.14,-0.14,0.0,0.83,0.08,-0.04,0.0,4.37,0.14,-0.11,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h12m55.85s,288.2327232,+48d00m07.91s,48.0021967,924.141,15.554,-15.554,13.3839,0.0063,-0.0063,False
12499,Kepler-1589 b,Kepler-1589,TIC 377909767,Gaia DR2 2076565908231148928,1,1,0,Published Confirmed,0,,,,,,,,,1.27,0.33899999999999997,-0.14400000000000002,0.0,0.113,0.03,-0.013000000000000001,0.0,,,,,,,,,,,,,,,,,1.32,0.09,-0.08,0.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h37m46.04s,294.4418236,+40d34m17.80s,40.5716114,1513.14,65.63,-60.48,14.5062,0.0094,-0.0094,False
12506,Kepler-159 b,Kepler-159,TIC 169082553,Gaia DR2 2076764576237957504,1,2,0,Kepler Project Candidate (q1_q12_koi),0,10.13961841,1.368e-05,-1.368e-05,0.0,0.0738,,,0.0,1.87,0.23,-0.22,0.0,,,,,,,,,,,,,0.0,,,0.0,447.0,,,0.0,0.5,0.06,-0.06,0.0,0.52,0.06,-0.06,0.0,4.76,0.07,-0.07,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h48m16.85s,297.0702037,+40d52m07.44s,40.868734,373.744,3.15,-3.099,14.1532,0.0105,-0.0105,False
12529,Kepler-1590 b,Kepler-1590,TIC 26416803,Gaia DR2 2129295049918456960,1,1,0,Kepler Project Candidate (q1_q12_koi),0,7.61760804,4.334e-05,-4.334e-05,0.0,0.0772,,,0.0,1.09,0.55,-0.12,0.0,,,,,,,,,,,,,0.0,,,0.0,1019.0,,,0.0,1.07,0.54,-0.11,0.0,1.05,0.23,-0.12,0.0,4.4,0.07,-0.31,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h25m37.90s,291.4079141,+48d01m04.41s,48.0178915,771.152,10.82,-10.531,13.6504,0.007,-0.007,False
12537,Kepler-1591 b,Kepler-1591,TIC 272491028,Gaia DR2 2079691991583086592,1,1,0,Kepler Project Candidate (q1_q17_dr24_koi),0,8.18504949,7.831e-05,-7.831e-05,0.0,0.0794,,,0.0,0.95,0.32,-0.09,0.0,,,,,,,,,,,,,0.0,,,0.0,892.0,,,0.0,0.91,0.31,-0.08,0.0,0.99,0.09,-0.13,0.0,4.52,0.04,-0.26,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h46m04.00s,296.5166659,+44d36m31.04s,44.6086233,1419.58,49.98,-46.76,14.189,0.007,-0.007,False
12544,Kepler-1592 b,Kepler-1592,TIC 138364751,Gaia DR2 2052085934674652544,1,1,0,Kepler Project Candidate (q1_q16_koi),0,3.05710069,2.334e-05,-2.334e-05,0.0,0.04,,,0.0,1.02,0.4,-0.07,0.0,,,,,,,,,,,,,0.0,,,0.0,1209.0,,,0.0,0.83,0.32,-0.06,0.0,0.91,0.1,-0.1,0.0,4.56,0.03,-0.28,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h35m24.15s,293.850623,+38d23m51.86s,38.397737899999996,1639.47,70.14,-64.7,14.3281,0.0069,-0.0069,False
12552,Kepler-1593 b,Kepler-1593,TIC 239306899,Gaia DR2 2076087964270165632,1,1,0,Kepler Project Candidate (q1_q16_koi),0,174.509835,0.001852,-0.001852,0.0,0.4839,,,0.0,1.91,0.16,-0.21,0.0,,,,,,,,,,,,,0.0,,,0.0,187.0,,,0.0,0.46,0.04,-0.05,0.0,0.49,0.03,-0.05,0.0,4.82,0.06,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h01m57.17s,300.4882018,+44d27m38.41s,44.4606698,638.249,13.378,-12.85,15.1695,0.0112,-0.0112,False
12562,Kepler-1594 b,Kepler-1594,TIC 270695341,Gaia DR2 2128836308750694016,1,1,0,Kepler Project Candidate (q1_q17_dr24_koi),0,2.71603809,1.355e-05,-1.355e-05,0.0,0.0391,,,0.0,1.04,0.45,-0.1,0.0,,,,,,,,,,,,,0.0,,,0.0,1388.0,,,0.0,1.01,0.44,-0.1,0.0,1.07,0.21,-0.14,0.0,4.46,0.05,-0.3,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h34m29.53s,293.6230451,+47d57m42.89s,47.961912700000006,976.868,23.05,-22.029,14.2953,0.0065,-0.0065,False
12570,Kepler-1595 b,Kepler-1595,TIC 279915521,Gaia DR2 2105726605858883456,1,1,0,Kepler Project Candidate (q1_q16_koi),0,4.56380468,3.24e-05,-3.24e-05,0.0,0.051,,,0.0,1.28,0.47,-0.12,0.0,,,,,,,,,,,,,0.0,,,0.0,980.0,,,0.0,0.86,0.32,-0.08,0.0,0.85,0.11,-0.07,0.0,4.5,0.06,-0.24,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h02m53.46s,285.7227502,+43d00m34.15s,43.0094855,845.022,21.858,-20.802,14.8373,0.0067,-0.0067,False
12578,Kepler-1596 b,Kepler-1596,TIC 350813882,Gaia DR2 2132009744125068416,1,1,0,Published Confirmed,0,66.36860932,4.135e-05,-4.135e-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,0.0,1.01,,,0.0,3.98,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h02m13.80s,285.5575066,+49d19m48.31s,49.3300866,2146.23,147.39,-129.98,14.8969,0.0061,-0.0061,False
12587,Kepler-1597 b,Kepler-1597,TIC 158722002,Gaia DR2 2102530703514980864,1,1,0,Kepler Project Candidate (q1_q12_koi),0,2.94654179,3.471e-05,-3.471e-05,0.0,0.0427,,,0.0,0.91,0.43,-0.11,0.0,,,,,,,,,,,,,0.0,,,0.0,1499.0,,,0.0,1.17,0.56,-0.14,0.0,1.2,0.24,-0.18,0.0,4.38,0.07,-0.28,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h12m39.35s,288.1639687,+42d28m51.64s,42.481012400000004,1221.05,24.12,-23.22,13.7503,0.0062,-0.0062,False
12595,Kepler-1598 b,Kepler-1598,TIC 158730471,Gaia DR2 2130770766319922560,1,1,0,Kepler Project Candidate (q1_q17_dr25_sup_koi),0,4.34195312,3.55e-05,-3.55e-05,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,0.0,0.95,,,0.0,1.04,,,0.0,4.5,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h13m52.59s,288.469107,+46d47m01.13s,46.783646399999995,619.862,7.2165,-7.2165,13.3692,0.0068,-0.0068,False
12603,Kepler-1599 b,Kepler-1599,TIC 120768052,Gaia DR2 2103885782875978880,1,1,0,Published Confirmed,0,122.363553,0.008968,-0.008968,0.0,,,,,1.62,0.33,-0.23,0.0,0.145,0.028999999999999998,-0.021,0.0,,,,,,,,,,,,,,,,,0.99,0.18,-0.09,0.0,0.99,0.06,-0.05,0.0,4.45,0.06,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h04m53.01s,286.2208685,+41d09m04.28s,41.1511886,1328.2,38.84,-36.72,14.4154,0.0064,-0.0064,False
12612,Kepler-16 b,Kepler-16,TIC 299096355,Gaia DR2 2133476355197071616,2,1,0,Published Confirmed,0,228.776,0.02,-0.037,0.0,0.7048,0.0011,-0.0011,0.0,8.449,0.028999999999999998,-0.028999999999999998,0.0,0.754,0.003,-0.003,0.0,105.833,5.085,-5.085,0.0,0.333,0.016,-0.016,0.0,0.0069,0.001,-0.0015,0.0,,,,,0.65,0.0,0.0,0.0,0.69,0.0,0.0,0.0,4.65,0.0,0.0,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h16m18.20s,289.0758307,+51d45m26.02s,51.757228999999995,75.0852,0.1541,-0.1536,10.9438,0.006,-0.006,False
12613,Kepler-160 b,Kepler-160,TIC 158555483,Gaia DR2 2102587087846067712,1,3,0,Kepler Project Candidate (q1_q17_dr24_koi),0,4.30920108,2.667e-05,-2.667e-05,0.0,0.0498,,,0.0,1.78,0.76,-0.17,0.0,,,,,,,,,,,,,0.0,,,0.0,1078.0,,,0.0,0.87,0.37,-0.08,0.0,0.89,0.12,-0.08,0.0,4.51,0.05,-0.29,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h11m05.66s,287.773573,+42d52m09.39s,42.8692755,937.013,16.452,-15.904,14.1321,0.0067,-0.0067,False
12637,Kepler-1600 b,Kepler-1600,TIC 137151626,Gaia DR2 2052754540819149568,1,2,0,Kepler Project Candidate (q1_q17_dr25_koi),0,386.370512,0.008255,-0.008255,0.0,0.9712,,,0.0,2.96,0.17,-0.19,0.0,,,,,,,,,,,,,0.0,,,0.0,209.0,,,0.0,0.83,0.05,-0.05,0.0,0.82,0.05,-0.04,0.0,4.51,0.06,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h25m35.85s,291.3993802,+38d47m15.92s,38.7877563,1030.81,34.2705,-34.2705,15.2155,0.0076,-0.0076,False
12649,Kepler-1601 b,Kepler-1601,TIC 120571308,Gaia DR2 2099912182214036608,1,1,0,Published Confirmed,0,2.20921951,1.51e-05,-1.51e-05,0.0,,,,,0.82,0.24,-0.11,0.0,0.073,0.021,-0.01,0.0,,,,,,,,,,,,,,,,,1.07,0.31,-0.12,0.0,1.04,0.07,-0.06,0.0,4.4,0.09,-0.2,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h02m03.11s,285.5129496,+38d04m47.42s,38.079839,644.456,6.281,-6.163,13.2278,0.0068,-0.0068,False
12657,Kepler-1602 b,Kepler-1602,TIC 138299395,Gaia DR2 2053284398043177216,1,1,0,Kepler Project Candidate (q1_q17_dr25_koi),0,11.17931581,9.722e-05,-9.722e-05,0.0,0.1074,,,0.0,1.81,0.38,-0.56,0.0,,,,,,,,,,,,,0.0,,,0.0,1159.0,,,0.0,1.87,0.39,-0.58,0.0,1.32,0.16,-0.26,0.0,4.01,0.24,-0.11,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h34m19.41s,293.58086069999996,+40d25m39.14s,40.4275396,629.804,5.564,-5.469,12.913,0.0089,-0.0089,False
12665,Kepler-1603 b,Kepler-1603,TIC 271537714,Gaia DR2 2077891644372852864,1,1,0,Published Confirmed,0,,,,,,,,,1.8840000000000001,0.255,-0.214,0.0,0.168,0.023,-0.019,0.0,,,,,,,,,,,,,,,,,2.07,0.25,-0.21,0.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m19.16s,295.32982539999995,+42d32m05.89s,42.5349698,2712.58,248.97,-211.14,14.8748,0.0066,-0.0066,False
12673,Kepler-1604 b,Kepler-1604,TIC 351911398,Gaia DR2 2105964306529014400,1,1,0,Kepler Project Candidate (q1_q17_dr24_koi),0,0.68368426,6.3e-07,-6.3e-07,0.0,0.0142,,,0.0,1.39,0.2,-0.1,0.0,,,,,,,,,,,,,0.0,,,0.0,1612.0,,,0.0,0.75,0.11,-0.06,0.0,0.81,0.08,-0.08,0.0,4.59,0.03,-0.09,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h01m38.56s,285.41065489999994,+44d24m44.03s,44.412231799999994,541.189,6.329,-6.188,14.276,0.0068,-0.0068,False
12680,Kepler-1605 b,Kepler-1605,TIC 158394902,Gaia DR2 2130676478898097792,1,1,0,Published Confirmed,0,85.75665076,0.00039548,-0.00039548,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13,,,0.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h08m32.39s,287.13494049999997,+47d29m19.05s,47.4886251,546.23,6.6415,-6.6415,11.8781,0.007,-0.007,False
12689,Kepler-1606 b,Kepler-1606,TIC 158218731,Gaia DR2 2105554394851020160,1,1,0,Published Confirmed,0,,,,,,,,,2.0180000000000002,0.158,-0.128,0.0,0.18,0.013999999999999999,-0.011000000000000001,0.0,,,,,,,,,,,,,,,,,0.82,0.04,-0.04,0.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h05m30.79s,286.37829869999996,+43d04m23.62s,43.0732287,831.287,18.466,-17.694,14.5917,0.0065,-0.0065,False
12699,Kepler-1607 b,Kepler-1607,TIC 272179260,Gaia DR2 2077241558125147904,1,1,0,Published Confirmed,0,,,,,,,,,1.9180000000000001,0.619,-0.14,0.0,0.171,0.055,-0.012,0.0,,,,,,,,,,,,,,,,,2.12,0.11,-0.1,0.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h44m14.37s,296.0598685,+42d39m21.81s,42.656058200000004,1286.1,38.86,-38.86,13.3596,0.0085,-0.0085,False
12706,Kepler-1608 b,Kepler-1608,TIC 184088195,Gaia DR2 2076214889145035136,1,1,0,Kepler Project Candidate (q1_q16_koi),0,16.4735686,0.0001698,-0.0001698,0.0,0.1126,,,0.0,1.8,0.64,-0.2,0.0,,,,,,,,,,,,,0.0,,,0.0,612.0,,,0.0,0.75,0.27,-0.08,0.0,0.7,0.14,-0.04,0.0,4.53,0.08,-0.33,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h42m15.25s,295.563555,+39d25m03.25s,39.41757,,,,15.3025,0.0062,-0.0062,False
12713,Kepler-1609 b,Kepler-1609,TIC 122302031,Gaia DR2 2100993929859129600,1,1,0,Kepler Project Candidate (q1_q17_dr25_sup_koi),0,114.336052,0.003815,-0.003815,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,0.0,1.71,,,0.0,1.05,,,0.0,3.99,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h20m35.17s,290.1465356,+39d39m56.89s,39.6658026,1826.04,100.88,-91.03,14.4747,0.0072,-0.0072,False
12722,Kepler-161 b,Kepler-161,TIC 159444082,Gaia DR2 2102046952760377728,1,2,0,Kepler Project Candidate (q1_q17_dr25_koi),0,4.9213639,4.01e-06,-4.01e-06,0.0,0.0532,,,0.0,2.14,0.14,-0.11,0.0,,,,,,,,,,,,,0.0,,,0.0,868.0,,,0.0,0.8,0.05,-0.04,0.0,0.83,0.04,-0.04,0.0,4.55,0.04,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h22m03.95s,290.51646980000004,+43d05m01.91s,43.08386420000001,434.632,3.1,-3.056,13.5997,0.0061,-0.0061,False
12745,Kepler-1610 b,Kepler-1610,TIC 272073436,Gaia DR2 2079807646464016256,1,1,0,Published Confirmed,0,8.70181574,8.315e-05,-8.315e-05,0.0,,,,,1.61,0.19,-0.13,0.0,0.14400000000000002,0.017,-0.012,0.0,,,,,,,,,,,,,,,,,0.87,0.09,-0.04,0.0,0.91,0.04,-0.04,0.0,4.52,0.04,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h43m37.20s,295.90497949999997,+45d24m19.55s,45.405429600000005,864.331,24.2205,-24.2205,15.2206,0.0091,-0.0091,False
12753,Kepler-1611 b,Kepler-1611,TIC 27846759,Gaia DR2 2134894690840101376,1,1,0,Kepler Project Candidate (q1_q17_dr24_koi),0,5.1762429,5.826e-05,-5.826e-05,0.0,0.0541,,,0.0,0.66,0.21,-0.04,0.0,,,,,,,,,,,,,0.0,,,0.0,887.0,,,0.0,0.72,0.23,-0.05,0.0,0.79,0.11,-0.07,0.0,4.62,0.03,-0.18,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h46m02.88s,296.5120204,+49d43m39.90s,49.7277506,908.444,,,13.8937,0.006,-0.006,False
12760,Kepler-1612 b,Kepler-1612,TIC 159646633,Gaia DR2 2127432099262972416,1,1,0,Kepler Project Candidate (q1_q17_dr24_koi),0,3.91795101,2.727e-05,-2.727e-05,0.0,0.0468,,,0.0,0.88,0.26,-0.07,0.0,,,,,,,,,,,,,0.0,,,0.0,1019.0,,,0.0,0.81,0.25,-0.06,0.0,0.89,0.08,-0.09,0.0,4.57,0.03,-0.2,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h25m00.07s,291.25030219999996,+45d39m18.19s,45.6550536,764.726,13.738,-13.269,14.2068,0.0067,-0.0067,False
12768,Kepler-1613 b,Kepler-1613,TIC 159180076,Gaia DR2 2102814721113340928,1,1,0,Kepler Project Candidate (q1_q16_koi),0,1.5184299,0.0001991,-0.0001991,0.0,0.0264,,,0.0,2.34,1.3,-0.44,0.0,,,,,,,,,,,,,0.0,,,0.0,1927.0,,,0.0,1.27,0.71,-0.23,0.0,1.06,0.28,-0.12,0.0,4.26,0.15,-0.29,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h19m30.00s,289.8750066,+43d25m15.35s,43.4209318,1508.33,65.08,-60.0,13.6493,0.0063,-0.0063,False
12777,Kepler-1614 b,Kepler-1614,TIC 48451562,Gaia DR2 2132314858600815488,1,1,0,Kepler Project Candidate (q1_q12_koi),0,3.9466141,3.022e-05,-3.022e-05,0.0,0.0471,,,0.0,1.56,0.46,-0.12,0.0,,,,,,,,,,,,,0.0,,,0.0,981.0,,,0.0,0.81,0.24,-0.06,0.0,0.9,0.07,-0.09,0.0,4.58,0.03,-0.19,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h59m29.13s,284.87138930000003,+49d46m33.19s,49.7758867,1191.19,46.18,-42.91,15.3655,0.0074,-0.0074,False
12785,Kepler-1615 b,Kepler-1615,TIC 158217620,Gaia DR2 2105456160358298880,1,1,0,Published Confirmed,0,47.3126192,0.0008593,-0.0008593,0.0,,,,,2.06,0.48,-0.58,0.0,0.184,0.043,-0.052000000000000005,0.0,,,,,,,,,,,,,,,,,1.05,0.24,-0.09,0.0,1.04,0.06,-0.06,0.0,4.42,0.07,-0.16,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h05m26.21s,286.3592066,+42d13m38.63s,42.227397100000005,1393.83,39.15,-37.11,14.0552,0.0069,-0.0069,False
12793,Kepler-1616 b,Kepler-1616,TIC 158274583,Gaia DR2 2106427750679026688,1,1,0,Kepler Project Candidate (q1_q16_koi),0,6.76284377,6.948e-05,-6.948e-05,0.0,0.074,,,0.0,0.88,0.56,-0.1,0.0,,,,,,,,,,,,,0.0,,,0.0,1138.0,,,0.0,1.16,0.74,-0.13,0.0,1.18,0.28,-0.17,0.0,4.38,0.06,-0.37,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h06m10.48s,286.5436691,+45d18m17.54s,45.3048716,1137.81,17.53,-17.53,13.0513,0.0064,-0.0064,False
12801,Kepler-1617 b,Kepler-1617,TIC 158625761,Gaia DR2 2130376453962481024,1,1,0,Kepler Project Candidate (q1_q12_koi),0,27.4785572,0.0005078,-0.0005078,0.0,0.1833,,,0.0,1.08,0.54,-0.12,0.0,,,,,,,,,,,,,0.0,,,0.0,689.0,,,0.0,1.13,0.56,-0.13,0.0,1.08,0.24,-0.1,0.0,4.37,0.08,-0.29,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h11m44.92s,287.9371747,+46d25m06.52s,46.4184781,898.31,12.709,-12.709,13.2542,0.0069,-0.0069,False
12809,Kepler-1618 b,Kepler-1618,TIC 271546110,Gaia DR2 2080067440443554176,1,1,0,Kepler Project Candidate (q1_q17_dr24_koi),0,6.10826019,8.991e-05,-8.991e-05,0.0,0.0709,,,0.0,1.07,0.62,-0.19,0.0,,,,,,,,,,,,,0.0,,,0.0,1311.0,,,0.0,1.39,0.8,-0.25,0.0,1.28,0.27,-0.22,0.0,4.26,0.11,-0.33,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h40m42.09s,295.1753619,+45d55m51.09s,45.930859399999996,1229.25,27.625,-27.625,13.2062,0.0107,-0.0107,False
12817,Kepler-1619 b,Kepler-1619,TIC 279913760,Gaia DR2 2105921803532722432,1,1,0,Published Confirmed,0,23.62209527,0.00041682,-0.00041682,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48,0.06,-0.07,0.0,1.02,0.15,-0.1,0.0,4.11,0.09,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h02m48.86s,285.703595,+44d25m19.75s,44.4221528,734.85,8.107,-7.935,12.866,0.0064,-0.0064,False
12825,Kepler-162 b,Kepler-162,TIC 273036401,Gaia DR2 2078852754973778560,1,2,0,Kepler Project Candidate (q1_q17_dr25_sup_koi),0,6.91986988,2.766e-05,-2.766e-05,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,0.0,1.21,,,0.0,1.03,,,0.0,4.29,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h49m06.94s,297.27891150000005,+43d43m26.29s,43.7239693,855.641,15.029,-14.528,13.7224,0.0105,-0.0105,False
12846,Kepler-1620 b,Kepler-1620,TIC 273045068,Gaia DR2 2080358463124310400,1,1,0,Kepler Project Candidate (q1_q17_dr25_koi),0,101.952048,0.001733,-0.001733,0.0,0.4322,,,0.0,1.31,0.42,-0.15,0.0,,,,,,,,,,,,,0.0,,,0.0,428.0,,,0.0,1.05,0.34,-0.12,0.0,1.03,0.16,-0.12,0.0,4.41,0.09,-0.2,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h49m05.02s,297.2709026,+46d55m42.51s,46.9284743,895.069,,,13.1842,0.0062,-0.0062,False
12854,Kepler-1621 b,Kepler-1621,TIC 273238089,Gaia DR2 2078849112841866624,1,1,0,Published Confirmed,0,92.263714,0.002385,-0.002385,0.0,,,,,2.16,0.8,-0.37,0.0,0.193,0.071,-0.033,0.0,,,,,,,,,,,,,,,,,1.24,0.46,-0.2,0.0,1.15,0.2,-0.11,0.0,4.31,0.12,-0.21,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h50m21.25s,297.5885341,+43d50m28.30s,43.841193700000005,1631.66,70.8,-65.23,14.5519,0.0109,-0.0109,False
12863,Kepler-1622 b,Kepler-1622,TIC 273047792,Gaia DR2 2086419903235549312,1,1,0,Kepler Project Candidate (q1_q17_dr24_koi),0,10.8118737,0.0001009,-0.0001009,0.0,0.1006,,,0.0,1.15,0.74,-0.15,0.0,,,,,,,,,,,,,0.0,,,0.0,980.0,,,0.0,1.19,0.77,-0.15,0.0,1.16,0.29,-0.16,0.0,4.35,0.08,-0.36,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h49m18.92s,297.3288329,+47d48m55.65s,47.815459000000004,796.477,9.151,-8.949,12.9544,0.0073,-0.0073,False
